Date,RET_AAPL,RET_MSFT,RET_AMZN,RET_GOOGL,RET_META,RET_NVDA,RET_JPM,RET_V,RET_JNJ,RET_PG,RET_HD,RET_MA,RET_XOM,RET_BAC,RET_PFE,RET_KO,RET_PEP,RET_CVX,RET_MRK,RET_COST,RET_WMT,RET_DIS,Mkt-RF,RF,SMB,HML
2020-01-31,-4.433897,-1.475857,7.379136,-1.476369,-3.636711,-3.815935,-2.597687,-4.437823,-0.990955,-1.055995,-2.014653,-2.625916,-4.121024,-1.941404,0.458618,-0.781498,-1.258400,-3.824053,-1.225417,-1.276349,-1.792752,0.362795,-1.740000,0.010000,-0.440000,-0.350000
2020-02-03,-0.274586,2.437863,-0.225017,3.477146,1.129219,1.649545,0.763092,0.924774,0.873239,0.393215,1.508110,2.715737,-2.237593,0.426406,0.725023,0.308219,0.344991,-0.802699,2.223756,-1.152146,-0.192147,2.176273,0.840000,0.010000,0.620000,-0.670000
2020-02-04,3.301354,3.291659,2.268734,-2.508426,2.762133,2.829417,1.439604,1.369461,0.952256,0.439593,1.494310,1.417473,-1.251430,1.971489,0.479858,0.443840,0.498203,0.536302,1.167874,0.960287,0.875079,2.412974,1.570000,0.010000,-0.030000,-0.700000
2020-02-05,0.815450,-0.122146,-0.478124,0.044268,0.133440,1.468871,1.700029,-0.368468,1.576497,0.915178,1.323430,-0.243080,4.602274,3.242118,1.273567,0.016989,0.754119,3.210143,-2.863295,1.328269,1.336036,-2.321579,0.970000,0.010000,0.330000,1.480000
2020-02-06,1.169663,2.073397,0.507873,2.069102,0.352189,1.391777,0.014552,0.113392,-0.298710,0.260241,0.306564,0.298496,-1.354991,-0.115244,0.235763,0.237896,0.020772,-0.716357,-0.174787,0.749267,-0.428057,0.940800,0.270000,0.010000,-0.460000,-0.840000
2020-02-07,-1.359251,0.141565,1.416914,0.212735,0.701920,-1.046223,-0.319743,-0.147724,-1.068170,-0.833727,-0.644782,-0.698468,-0.662585,-0.173068,-0.548856,0.339035,0.720597,-0.502335,-0.700270,0.972285,0.120379,-1.177291,-0.550000,0.010000,-0.790000,-0.020000
2020-02-10,0.474946,2.615715,2.627358,1.997819,0.343806,4.523223,0.415551,1.603045,-0.019747,0.071364,1.394873,1.003073,-1.056097,0.231172,-0.630759,0.946109,0.199472,0.780249,0.681716,0.051038,-1.030497,1.113315,0.730000,0.010000,-0.010000,-0.900000
2020-02-11,-0.603322,-2.257579,0.791503,0.092810,-2.755093,1.870953,0.188741,-0.995188,0.085624,-1.593066,0.428075,0.193770,0.950639,0.230614,0.740551,-0.267788,0.288367,1.293383,-0.478611,-0.991121,0.130159,-1.108077,0.270000,0.010000,0.050000,1.040000
2020-02-12,2.374786,0.146419,0.427747,0.567517,1.723050,1.735790,0.000000,1.716146,-0.592166,-0.571847,-0.020711,0.979064,1.222531,0.431384,-0.918867,-0.302049,0.000000,0.746307,-2.346064,1.429111,0.389958,0.595706,0.660000,0.010000,0.160000,-0.360000
2020-02-13,-0.712122,-0.541411,-0.468982,-0.345044,1.129260,-0.645802,-0.086941,0.125534,-0.661896,1.223171,0.318732,0.502799,-0.554937,-0.028652,-2.146253,0.336639,0.266918,-0.339145,-1.537537,0.977411,1.372455,-0.669713,-0.090000,0.010000,0.200000,0.010000
2020-02-14,0.024629,0.892729,-0.697717,0.352847,0.487944,7.020493,-0.304615,1.393454,0.026676,0.944275,1.101693,1.521538,-0.459523,-0.171853,-1.137304,0.570387,0.355044,-0.262773,0.829569,0.034571,0.383163,-0.965231,0.140000,0.010000,-0.380000,-0.660000
2020-02-18,-1.831062,1.014315,0.974299,0.046761,1.690152,2.339603,-1.324014,0.432728,-0.659421,-1.006800,-0.444866,0.085060,-1.269620,-1.664278,-0.520430,-0.700592,-0.945639,0.145352,-0.229901,1.174969,1.475992,-0.286653,-0.190000,0.010000,0.160000,-0.640000
